Chair,id,MIOU / 25%,MIOU / 50%,MIOU / 75%,MIOU / 25%,MIOU / 50%,MIOU / 75%
1,1a8bbf2994788e2743e99e0cae970928,31.81%,69.66%,71.94%,855.93,624.12,617.33
3,1b5e876f3559c231532a8e162f399205,24.79%,53.26%,60.05%,805.71,517.88,570.75
4,1b05971a4373c7d2463600025db2266,19.64%,54.14%,58.29%,1096.41,958.90,1008.45
5,1b80175cc081f3e44e4975e87c20ce53,25.26%,49.93%,62.17%,696.22,297.36,274.19
7,1bcd9c3fe6c9087e593ebeeedbff73b,28.61%,59.79%,68.28%,1238.32,1077.50,1069.18
,,,,,,,
,,25.26%,54.14%,62.17%,855.93,624.12,617.33
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Material Completion aquracy,92.07%,,,,,
,,,,,,,
,Cosine similarity,91.40%,,,,,
